id_cliente,genero,idoso,tem_parceiro,tem_dependentes,meses_na_empresa,servico_telefone,multiplas_linhas,servico_internet,servico_seguranca,servico_backup,servico_protecao_equipamento,servico_suporte_tecnico,streaming_tv,streaming_filmes,contrato,fatura_digital,forma_pagamento,valor_mensal,total_gasto,churn
7469-LKBCI,Masculino,Não,Não,Não,16,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Cartao de credito,18.95,326.8,Não
8091-TTVAX,Masculino,Não,Sim,Não,58,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Anual,Não,Cartao de credito,100.35,5681.1,Não
0280-XJGEX,Masculino,Não,Não,Não,49,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Transferencia,103.7,5036.3,Sim
5129-JLPIS,Masculino,Não,Não,Não,25,Sim,Não,Fibra optica,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Boleto,105.5,2686.05,Não
3655-SNQYZ,Feminino,Não,Sim,Sim,69,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Cartao de credito,113.25,7895.15,Não
8191-XWSZG,Feminino,Não,Não,Não,52,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Anual,Não,Cheque,20.65,1022.95,Não
9959-WOFKT,Masculino,Não,Não,Sim,71,Sim,Sim,Fibra optica,Sim,Não,Sim,Não,Sim,Sim,Bianual,Não,Transferencia,106.7,7382.25,Não
4190-MFLUW,Feminino,Não,Sim,Sim,10,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Não,Cartao de credito,55.2,528.35,Sim
4183-MYFRB,Feminino,Não,Não,Não,21,Sim,Não,Fibra optica,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Boleto,90.05,1862.9,Não
8779-QRDMV,Masculino,Sim,Não,Não,1,Não,Não,DSL,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Boleto,39.65,39.65,Sim
1680-VDCWW,Masculino,Não,Sim,Não,12,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Anual,Não,Transferencia,19.8,202.25,Não
1066-JKSGK,Masculino,Não,Não,Não,1,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque,20.15,20.15,Sim
3638-WEABW,Feminino,Não,Sim,Não,58,Sim,Sim,DSL,Não,Sim,Não,Sim,Não,Não,Bianual,Sim,Cartao de credito,59.9,3505.1,Não
6322-HRPFA,Masculino,Não,Sim,Sim,49,Sim,Não,DSL,Sim,Sim,Não,Sim,Não,Não,Mensal,Não,Cartao de credito,59.6,2970.3,Não
6865-JZNKO,Feminino,Não,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Mensal,Sim,Transferencia,55.3,1530.6,Não
6467-CHFZW,Masculino,Não,Sim,Sim,47,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Boleto,99.35,4749.15,Sim
8665-UTDHZ,Masculino,Não,Sim,Sim,1,Não,Não,DSL,Não,Sim,Não,Não,Não,Não,Mensal,Não,Boleto,30.2,30.2,Sim
5248-YGIJN,Masculino,Não,Sim,Não,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cartao de credito,90.25,6369.45,Não
8773-HHUOZ,Feminino,Não,Não,Sim,17,Sim,Não,DSL,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque,64.7,1093.1,Sim
3841-NFECX,Feminino,Sim,Sim,Não,71,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Não,Não,Bianual,Sim,Cartao de credito,96.35,6766.95,Não
4929-XIHVW,Masculino,Sim,Sim,Não,2,Sim,Não,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cartao de credito,95.5,181.65,Não
6827-IEAUQ,Feminino,Não,Sim,Sim,27,Sim,Não,DSL,Sim,Sim,Sim,Sim,Não,Não,Anual,Não,Cheque,66.15,1874.45,Não
7310-EGVHZ,Masculino,Não,Não,Não,1,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Não,Transferencia,20.2,20.2,Não
3413-BMNZE,Masculino,Sim,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Transferencia,45.25,45.25,Não
6234-RAAPL,Feminino,Não,Sim,Sim,72,Sim,Sim,Fibra optica,Sim,Sim,Não,Sim,Sim,Não,Bianual,Não,Transferencia,99.9,7251.7,Não
6047-YHPVI,Masculino,Não,Não,Não,5,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Boleto,69.7,316.9,Sim
6572-ADKRS,Feminino,Não,Não,Não,46,Sim,Não,Fibra optica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cartao de credito,74.8,3548.3,Não
5380-WJKOV,Masculino,Não,Não,Não,34,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Boleto,106.35,3549.25,Sim
8168-UQWWF,Feminino,Não,Não,Não,11,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Transferencia,97.85,1105.4,Sim
8865-TNMNX,Masculino,Não,Sim,Sim,10,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,Não,Cheque,49.55,475.7,Não
9489-DEDVP,Feminino,Não,Sim,Sim,70,Sim,Sim,DSL,Sim,Sim,Não,Não,Sim,Não,Bianual,Sim,Cartao de credito,69.2,4872.35,Não
9867-JCZSP,Feminino,Não,Sim,Sim,17,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Anual,Não,Cheque,20.75,418.25,Não
4671-VJLCL,Feminino,Não,Não,Não,63,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Bianual,Sim,Cartao de credito,79.85,4861.45,Não
4080-IIARD,Feminino,Não,Sim,Não,13,Sim,Sim,DSL,Sim,Sim,Não,Sim,Sim,Não,Mensal,Sim,Boleto,76.2,981.45,Não
3714-NTNFO,Feminino,Não,Não,Não,49,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Boleto,84.5,3906.7,Não
5948-UJZLF,Masculino,Não,Não,Não,2,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Mensal,Não,Cheque,49.25,97.0,Não
7760-OYPDY,Feminino,Não,Não,Não,2,Sim,Não,Fibra optica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Boleto,80.65,144.15,Sim
7639-LIAYI,Masculino,Não,Não,Não,52,Sim,Sim,DSL,Sim,Não,Não,Sim,Sim,Sim,Bianual,Sim,Cartao de credito,79.75,4217.8,Não
2954-PIBKO,Feminino,Não,Sim,Sim,69,Sim,Sim,DSL,Sim,Não,Sim,Sim,Não,Não,Bianual,Sim,Cartao de credito,64.15,4254.1,Não
8012-SOUDQ,Feminino,Sim,Não,Não,43,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Boleto,90.25,3838.75,Não
9420-LOJKX,Feminino,Não,Não,Não,15,Sim,Não,Fibra optica,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cartao de credito,99.1,1426.4,Sim
6575-SUVOI,Feminino,Sim,Sim,Não,25,Sim,Sim,DSL,Sim,Não,Não,Sim,Sim,Não,Mensal,Sim,Cartao de credito,69.5,1752.65,Não
7495-OOKFY,Feminino,Sim,Sim,Não,8,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cartao de credito,80.65,633.3,Sim
4667-QONEA,Feminino,Sim,Sim,Sim,60,Sim,Não,DSL,Sim,Sim,Sim,Sim,Não,Sim,Anual,Sim,Cartao de credito,74.85,4456.35,Não
1658-BYGOY,Masculino,Sim,Não,Não,18,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto,95.45,1752.55,Sim
8769-KKTPH,Feminino,Não,Sim,Sim,63,Sim,Sim,Fibra optica,Sim,Não,Não,Não,Sim,Sim,Anual,Sim,Cartao de credito,99.65,6311.2,Não
5067-XJQFU,Masculino,Sim,Sim,Sim,66,Sim,Sim,Fibra optica,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Boleto,108.45,7076.35,Não
3957-SQXML,Feminino,Não,Sim,Sim,34,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Cartao de credito,24.95,894.3,Não
5954-BDFSG,Feminino,Não,Não,Não,72,Sim,Sim,Fibra optica,Não,Não,Sim,Sim,Sim,Sim,Bianual,Sim,Cartao de credito,107.5,7853.7,Não
0434-CSFON,Feminino,Não,Sim,Não,47,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Boleto,100.5,4707.1,Não
1215-FIGMP,Masculino,Não,Não,Não,60,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Transferencia,89.9,5450.7,Não
0526-SXDJP,Masculino,Não,Sim,Não,72,Não,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Bianual,Não,Transferencia,42.1,2962.0,Não
0557-ASKVU,Feminino,Não,Sim,Sim,18,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Não,Anual,Sim,Cartao de credito,54.4,957.1,Não
5698-BQJOH,Feminino,Não,Não,Não,9,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Boleto,94.4,857.25,Sim
5122-CYFXA,Feminino,Não,Não,Não,3,Sim,Não,DSL,Não,Sim,Não,Sim,Sim,Sim,Mensal,Sim,Boleto,75.3,244.1,Não
8627-ZYGSZ,Masculino,Não,Sim,Não,47,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Não,Não,Anual,Sim,Boleto,78.9,3650.35,Não
3410-YOQBQ,Feminino,Não,Não,Não,31,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Cheque,79.2,2497.2,Não
3170-NMYVV,Feminino,Não,Sim,Sim,50,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Transferencia,20.15,930.9,Não
7410-OIEDU,Masculino,Não,Não,Não,10,Sim,Não,Fibra optica,Sim,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque,79.85,887.35,Não
2273-QCKXA,Masculino,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Sim,Não,Não,Mensal,Não,Cheque,49.05,49.05,Não
0731-EBJQB,Feminino,Não,Sim,Sim,52,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Anual,Sim,Boleto,20.4,1090.65,Não
1891-QRQSA,Masculino,Sim,Sim,Sim,64,Sim,Sim,Fibra optica,Sim,Não,Sim,Sim,Sim,Sim,Bianual,Sim,Transferencia,111.6,7099.0,Não
8028-PNXHQ,Masculino,Não,Sim,Sim,62,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Bianual,Sim,Transferencia,24.25,1424.6,Não
5630-AHZIL,Feminino,Não,Não,Sim,3,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,Sim,Transferencia,64.5,177.4,Não
2673-CXQEU,Feminino,Sim,Não,Não,56,Sim,Sim,Fibra optica,Sim,Sim,Sim,Não,Sim,Sim,Anual,Não,Boleto,110.5,6139.5,Não
6416-JNVRK,Feminino,Não,Não,Não,46,Sim,Não,DSL,Não,Não,Não,Não,Não,Sim,Anual,Não,Cartao de credito,55.65,2688.85,Não
5590-ZSKRV,Feminino,Não,Sim,Sim,8,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Mensal,Não,Cheque,54.65,482.25,Não
0191-ZHSKZ,Masculino,Sim,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Boleto,74.75,2111.3,Não
3887-PBQAO,Feminino,Não,Sim,Sim,45,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Anual,Sim,Cartao de credito,25.9,1216.6,Não
5919-TMRGD,Feminino,Não,Não,Sim,1,Sim,Não,Fibra optica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Boleto,79.35,79.35,Sim
8108-UXRQN,Feminino,Não,Sim,Sim,11,Não,Não,DSL,Sim,Não,Não,Não,Sim,Sim,Mensal,Não,Boleto,50.55,565.35,Não
9191-MYQKX,Feminino,Não,Sim,Não,7,Sim,Não,Fibra optica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Transferencia,75.15,496.9,Sim
9919-YLNNG,Feminino,Não,Não,Não,42,Sim,Não,Fibra optica,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Transferencia,103.8,4327.5,Não
0318-ZOPWS,Feminino,Não,Sim,Não,49,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Sim,Transferencia,20.15,973.35,Não
4445-ZJNMU,Masculino,Não,Não,Não,9,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cartao de credito,99.3,918.75,Não
4808-YNLEU,Feminino,Não,Sim,Não,35,Sim,Não,DSL,Sim,Não,Não,Não,Sim,Não,Anual,Sim,Transferencia,62.15,2215.45,Não
1862-QRWPE,Feminino,Não,Sim,Sim,48,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Transferencia,20.65,1057.0,Não
2796-NNUFI,Feminino,Não,Sim,Sim,46,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Sim,Cheque,19.95,927.1,Não
3016-KSVCP,Masculino,Não,Sim,Não,29,Não,Não,DSL,Não,Não,Não,Não,Sim,Não,Mensal,Não,Cheque,33.75,1009.25,Não
4767-HZZHQ,Masculino,Não,Sim,Sim,30,Sim,Não,Fibra optica,Não,Sim,Sim,Não,Não,Não,Mensal,Não,Transferencia,82.05,2570.2,Não
2424-WVHPL,Masculino,Sim,Não,Não,1,Sim,Não,Fibra optica,Não,Não,Não,Sim,Não,Não,Mensal,Não,Boleto,74.7,74.7,Não
7233-PAHHL,Masculino,Não,Sim,Sim,66,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Bianual,Sim,Cheque,84.0,5714.25,Não
6067-NGCEU,Feminino,Não,Não,Não,65,Sim,Sim,Fibra optica,Sim,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartao de credito,111.05,7107.0,Não
9848-JQJTX,Masculino,Não,Não,Não,72,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Bianual,Sim,Transferencia,100.9,7459.05,Não
8637-XJIVR,Feminino,Não,Não,Não,12,Sim,Sim,Fibra optica,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Boleto,78.95,927.35,Sim
9803-FTJCG,Masculino,Não,Sim,Sim,71,Sim,Sim,DSL,Sim,Sim,Não,Sim,Não,Não,Anual,Sim,Cartao de credito,66.85,4748.7,Não
0278-YXOOG,Masculino,Não,Não,Não,5,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque,21.05,113.85,Sim
3212-KXOCR,Masculino,Não,Não,Não,52,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Transferencia,21.0,1107.2,Não
4598-XLKNJ,Feminino,Sim,Sim,Não,25,Sim,Não,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Boleto,98.5,2514.5,Sim
6380-ARCEH,Masculino,Não,Não,Não,1,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque,20.2,20.2,Não
3679-XASPY,Feminino,Não,Sim,Sim,1,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Não,Boleto,19.45,19.45,Não
7123-WQUHX,Masculino,Não,Não,Não,38,Sim,Sim,Fibra optica,Não,Não,Sim,Sim,Sim,Não,Anual,Não,Transferencia,95.0,3605.6,Não
5386-THSLQ,Feminino,Sim,Sim,Não,66,Não,Não,DSL,Não,Sim,Sim,Não,Sim,Não,Anual,Não,Transferencia,45.55,3027.25,Não
3192-NQECA,Masculino,Não,Sim,Não,68,Sim,Sim,Fibra optica,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Transferencia,110.0,7611.85,Sim
6180-YBIQI,Masculino,Não,Não,Não,5,Não,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque,24.3,100.2,Não
6728-DKUCO,Feminino,Não,Sim,Sim,72,Sim,Sim,Fibra optica,Sim,Sim,Não,Não,Sim,Sim,Anual,Sim,Boleto,104.15,7303.05,Não
9750-BOOHV,Feminino,Não,Não,Não,32,Não,Não,DSL,Sim,Não,Não,Não,Não,Não,Anual,Não,Cheque,30.15,927.65,Não
8597-CWYHH,Masculino,Não,Não,Não,43,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Sim,Anual,Não,Cheque,94.35,3921.3,Não
2848-YXSMW,Masculino,Não,Sim,Sim,72,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Cartao de credito,19.4,1363.25,Não
0486-HECZI,Masculino,Não,Sim,Não,55,Sim,Sim,Fibra optica,Sim,Sim,Não,Não,Sim,Não,Mensal,Sim,Boleto,96.75,5238.9,Sim
4549-ZDQYY,Feminino,Não,Não,Não,52,Sim,Não,DSL,Sim,Não,Sim,Sim,Não,Não,Anual,Não,Cartao de credito,57.95,3042.25,Não
5712-AHQNN,Feminino,Não,Não,Não,43,Sim,Não,Fibra optica,Não,Sim,Sim,Não,Sim,Não,Mensal,Sim,Boleto,91.65,3954.1,Não
4846-WHAFZ,Feminino,Sim,Sim,Não,37,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Boleto,76.5,2868.15,Sim
5256-SKJGO,Feminino,Não,Sim,Sim,64,Não,Não,DSL,Não,Sim,Não,Sim,Sim,Sim,Bianual,Sim,Boleto,54.6,3423.5,Não
3071-VBYPO,Masculino,Não,Sim,Sim,3,Sim,Não,Fibra optica,Sim,Sim,Não,Não,Sim,Não,Mensal,Não,Boleto,89.85,248.4,Não
9560-BBZXK,Feminino,Não,Não,Não,36,Não,Não,DSL,Sim,Não,Não,Não,Não,Não,Bianual,Não,Transferencia,31.05,1126.35,Não
5299-RULOA,Feminino,Não,Sim,Sim,10,Sim,Sim,Fibra optica,Sim,Não,Não,Não,Sim,Sim,Mensal,Sim,Boleto,100.25,1064.65,Sim
8402-OOOHJ,Feminino,Não,Não,Não,41,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Cheque,20.65,835.15,Não
9445-ZUEQE,Masculino,Não,Sim,Sim,27,Sim,Sim,Fibra optica,Não,Sim,Não,Sim,Não,Não,Mensal,Sim,Cartao de credito,85.2,2151.6,Não
1091-SOZGA,Feminino,Não,Sim,Sim,56,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Anual,Sim,Cartao de credito,99.8,5515.45,Não
2928-HLDBA,Feminino,Não,Não,Não,6,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque,20.7,112.75,Não
0404-SWRVG,Masculino,Não,Não,Não,3,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Boleto,74.4,229.55,Sim
6497-TILVL,Feminino,Não,Sim,Sim,7,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque,50.7,350.35,Não
7219-TLZHO,Feminino,Não,Sim,Sim,4,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque,20.85,62.9,Não
4622-YNKIJ,Masculino,Não,Não,Não,33,Sim,Não,Fibra optica,Sim,Não,Não,Sim,Sim,Não,Bianual,Sim,Boleto,88.95,3027.65,Não
4412-YLTKF,Feminino,Sim,Não,Não,27,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Boleto,78.05,2135.5,Sim
6734-PSBAW,Masculino,Não,Sim,Não,72,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Bianual,Sim,Transferencia,23.55,1723.95,Não
3930-ZGWVE,Masculino,Não,Não,Não,1,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque,19.75,19.75,Não
2639-UGMAZ,Masculino,Sim,Não,Não,71,Não,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Anual,Sim,Boleto,56.45,3985.35,Não
2876-GZYZC,Feminino,Não,Não,Não,13,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Boleto,85.95,1215.65,Não
6207-WIOLX,Feminino,Não,Sim,Sim,25,Não,Não,DSL,Sim,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartao de credito,58.6,1502.65,Sim
8587-XYZSF,Masculino,Não,Não,Não,67,Sim,Não,DSL,Não,Não,Não,Sim,Não,Não,Bianual,Não,Transferencia,50.55,3260.1,Não
3091-FYHKI,Masculino,Não,Não,Não,1,Não,Não,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Boleto,35.45,35.45,Sim
2372-HWUHI,Masculino,Não,Não,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Boleto,44.35,81.25,Sim
7799-LGRDP,Feminino,Não,Não,Não,43,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Bianual,Sim,Cartao de credito,25.7,1188.2,Não
7850-VWJUU,Feminino,Não,Não,Não,23,Sim,Não,Fibra optica,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Transferencia,75.0,1778.5,Não
3774-VBNXY,Feminino,Não,Sim,Sim,64,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Cheque,20.2,1277.75,Não
6217-KDYWC,Masculino,Não,Não,Sim,57,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Bianual,Sim,Cheque,19.6,1170.55,Não
0390-DCFDQ,Feminino,Sim,Sim,Não,1,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque,70.45,70.45,Sim
3146-MSEGF,Feminino,Sim,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cartao de credito,88.05,6425.65,Não
4080-OGPJL,Feminino,Não,Não,Não,8,Sim,Sim,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,Não,Boleto,71.15,563.65,Sim
1095-WGNGG,Feminino,Não,Sim,Não,61,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Sim,Bianual,Sim,Transferencia,101.05,5971.25,Não
2636-SJDOU,Masculino,Não,Não,Não,64,Sim,Sim,Fibra optica,Sim,Sim,Não,Não,Não,Não,Anual,Sim,Cartao de credito,84.3,5289.05,Não
1131-QQZEB,Masculino,Sim,Sim,Não,71,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Transferencia,23.95,1756.2,Não
5716-EZXZN,Feminino,Não,Sim,Sim,65,Sim,Sim,Fibra optica,Sim,Sim,Não,Sim,Sim,Não,Bianual,Sim,Cartao de credito,99.05,6416.7,Não
6837-BJYDQ,Masculino,Não,Não,Não,3,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Anual,Não,Cheque,19.6,61.35,Não
2135-RXIHG,Masculino,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Boleto,45.65,45.65,Sim
6440-DKQGE,Masculino,Não,Não,Sim,30,Sim,Não,DSL,Não,Sim,Sim,Não,Sim,Não,Anual,Não,Cartao de credito,64.5,1929.95,Não
3466-BYAVD,Masculino,Não,Sim,Sim,15,Sim,Não,DSL,Não,Sim,Sim,Sim,Não,Sim,Mensal,Sim,Cheque,69.5,1071.4,Não
3780-YVMFA,Feminino,Não,Sim,Sim,8,Sim,Não,DSL,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Boleto,68.55,564.35,Não
3874-EQOEP,Masculino,Não,Não,Não,7,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Sim,Mensal,Não,Cheque,95.0,655.5,Sim
1679-JRFBR,Feminino,Não,Sim,Sim,70,Sim,Sim,Fibra optica,Sim,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cartao de credito,108.15,7930.55,Não
9073-ZZIAY,Masculino,Não,Sim,Sim,62,Sim,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Boleto,86.1,5215.25,Não
3077-RSNTJ,Feminino,Não,Sim,Sim,6,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque,19.7,113.5,Não
6551-GNYDG,Feminino,Não,Sim,Sim,14,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Transferencia,80.9,1152.8,Não
9167-APMXZ,Feminino,Não,Não,Não,22,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Transferencia,84.15,1821.95,Não
2749-CTKAJ,Masculino,Não,Sim,Sim,22,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Anual,Não,Cheque,20.15,419.9,Não
6371-NZYEG,Masculino,Não,Sim,Sim,16,Sim,Não,DSL,Sim,Não,Sim,Não,Sim,Não,Bianual,Não,Cheque,64.25,1024.0,Não
7554-NEWDD,Masculino,Não,Não,Não,10,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Bianual,Não,Transferencia,25.7,251.6,Não
8992-VONJD,Feminino,Não,Não,Sim,13,Sim,Não,DSL,Sim,Sim,Não,Não,Não,Não,Mensal,Sim,Boleto,56.0,764.55,Não
